UserID,Academic_Major,Deep_Work_Hours,Doomscrolling_Hours,Sleep_Duration,Reported_Stress_Level,Mental_Fatigue_Score
U00054,BCA,9.7,5.2,6.5,4,Severe
U00055,BBA,6.9,6.5,7.2,8,Moderate
U00056,BCA,5.0,7.9,6.7,5,Severe
U00057,BCA,5.6,1.3,6.5,10,Moderate
U00058,BTech,4.8,2.5,6.8,1,Moderate
U00059,Arts,4.6,6.4,5.1,6,Severe
U00060,BBA,8.8,7.6,5.3,9,Severe
U00061,Arts,0.6,2.6,7.0,7,Low
U00062,BCA,1.5,4.6,9.5,4,Moderate
U00063,BCA,6.5,0.0,4.7,10,Low
U00064,BCA,4.0,6.6,9.0,8,Moderate
U00065,BBA,0.5,4.4,5.7,1,Low
U00066,Arts,5.2,6.3,7.2,7,Severe
U00067,Arts,4.0,2.8,9.3,9,Severe
U00068,Arts,6.6,6.5,9.6,10,Low
U00069,Arts,7.1,1.5,9.1,9,Severe
U00070,Arts,2.0,7.3,6.7,4,Moderate
U00071,Arts,9.2,7.3,7.5,4,Low
U00072,BCA,1.0,3.1,9.1,9,Severe
U00073,BBA,0.3,7.7,7.1,4,Moderate
U00074,BCA,7.5,1.6,4.8,5,Low
U00075,BTech,9.8,4.5,6.3,10,Moderate
U00076,BTech,5.3,5.0,6.9,9,Low
U00077,BCA,9.6,7.1,9.6,5,Moderate
U00078,BTech,0.5,7.0,9.0,9,Severe
U00079,BCA,2.5,7.1,8.7,7,Severe
U00080,BBA,7.7,3.7,7.7,3,Moderate
U00081,BTech,1.1,1.1,6.2,6,Low
U00082,BBA,6.9,3.7,6.1,8,Low
U00083,BTech,9.6,6.5,6.1,3,Moderate
U00084,Arts,1.1,4.4,6.5,4,Low
U00085,BTech,4.8,4.8,8.5,9,Severe
U00086,Arts,2.0,3.8,4.7,1,Severe
U00087,BTech,3.8,5.8,5.8,10,Severe
U00088,BBA,2.6,5.0,4.9,4,Severe
U00089,BCA,1.7,2.2,8.0,2,Moderate
U00090,BTech,2.1,1.8,5.0,9,Severe
U00091,BCA,0.4,3.5,4.2,2,Severe
U00092,BCA,8.7,5.4,7.4,6,Severe
U00093,Arts,0.8,6.9,9.4,3,Low
U00094,BCA,0.8,2.2,4.7,2,Low
U00095,BBA,4.3,5.0,7.9,8,Low
U00096,BBA,3.6,4.5,9.3,1,Moderate
U00097,Arts,5.9,2.3,9.7,9,Low
U00098,BBA,2.3,6.4,6.8,2,Moderate
U00099,BBA,2.4,0.4,4.3,1,Severe
U00100,BCA,1.9,7.1,8.9,5,Severe
U00101,Arts,1.6,3.9,8.4,5,Low
U00102,BCA,3.6,3.3,5.2,7,Low
U00103,BBA,3.7,0.1,8.3,5,Low
U00104,BCA,0.5,0.3,9.5,5,Low
U00105,BBA,9.6,7.7,6.9,7,Moderate
U00106,BTech,0.8,0.5,9.1,5,Low
U00107,BTech,8.2,2.5,8.1,2,Moderate
U00108,BCA,8.7,0.1,8.9,6,Low
U00109,Arts,1.9,4.7,8.4,2,Moderate
U00110,BBA,4.6,3.8,6.2,1,Moderate
U00111,BCA,7.4,7.6,7.1,2,Severe
U00112,BBA,6.3,4.3,7.7,4,Severe
U00113,BTech,6.3,1.3,7.7,1,Severe
U00114,BBA,7.6,7.6,7.5,1,Moderate
U00115,Arts,1.0,0.8,6.6,10,Severe
U00116,BCA,6.6,7.9,9.7,5,Severe
U00117,Arts,8.1,0.6,6.6,7,Moderate
U00118,BCA,0.5,6.2,9.7,8,Severe
U00119,BCA,0.4,3.9,7.2,8,Moderate
U00120,BTech,4.2,1.1,5.5,1,Severe
U00121,Arts,7.4,5.7,4.1,6,Severe
U00122,BTech,9.3,6.5,8.3,4,Low
U00123,BTech,0.3,6.7,5.3,8,Low
U00124,BTech,9.8,4.9,4.2,4,Moderate
U00125,BBA,8.8,4.2,9.2,2,Severe
U00126,BBA,7.7,6.2,4.2,3,Severe
U00127,BCA,7.8,1.9,9.6,4,Low
U00128,BCA,0.4,2.9,9.2,3,Moderate
U00129,BBA,7.2,1.2,8.0,8,Moderate
U00130,Arts,3.5,5.6,4.7,5,Severe
U00131,BCA,2.4,6.0,8.0,7,Severe
U00132,BCA,0.9,4.1,7.6,2,Severe
U00133,BTech,5.0,4.2,9.8,10,Moderate
U00134,BTech,3.1,1.6,5.7,5,Moderate
U00135,BBA,1.5,3.0,6.3,1,Low
U00136,Arts,3.8,4.1,9.1,4,Low
U00137,BCA,2.3,0.4,4.4,8,Moderate
U00138,BBA,10.0,6.7,5.1,1,Severe
U00139,BCA,2.5,3.6,5.2,7,Moderate
U00140,BTech,4.6,0.5,5.0,8,Severe
U00141,Arts,9.1,4.2,7.2,7,Low
U00142,BBA,6.8,5.3,8.8,5,Low
U00143,BTech,1.1,7.4,8.6,5,Moderate
U00144,Arts,6.8,6.8,6.5,2,Low
U00145,BCA,3.6,4.0,8.8,8,Moderate
U00146,Arts,6.1,1.9,9.4,6,Low
U00147,BBA,8.6,1.1,8.8,1,Low
U00148,BBA,8.5,0.6,6.4,3,Severe
U00149,BTech,6.4,4.5,7.3,6,Low
U00150,BTech,6.7,3.7,4.5,5,Severe
U00151,BCA,5.1,0.6,5.7,4,Severe
U00152,Arts,1.0,2.4,8.8,3,Moderate
U00153,BBA,1.2,0.6,7.5,8,Moderate
U00154,BCA,9.1,7.5,5.8,6,Moderate
U00155,BTech,8.3,7.1,4.8,4,Low
U00156,BCA,8.9,0.2,9.3,7,Low
U00157,BCA,8.4,4.0,7.2,3,Moderate
U00158,BTech,7.5,7.9,4.7,4,Moderate
U00159,BTech,8.1,3.4,6.8,4,Severe
U00160,Arts,8.8,1.2,7.4,4,Severe
U00161,BBA,9.0,6.1,7.2,8,Severe
U00162,BCA,0.2,1.6,6.3,2,Moderate
U00163,BCA,8.8,6.5,9.7,3,Moderate
U00164,BBA,4.7,6.1,9.0,10,Moderate
U00165,Arts,5.6,0.0,7.3,9,Moderate
U00166,Arts,7.4,4.8,8.7,3,Moderate
U00167,Arts,3.1,3.1,6.4,3,Severe
U00168,Arts,3.1,0.1,5.9,7,Severe
U00169,BCA,1.4,7.6,6.6,1,Severe
U00170,BCA,2.1,0.3,9.2,7,Moderate
U00171,BBA,3.9,6.4,5.3,6,Moderate
U00172,BCA,8.5,3.7,6.5,7,Moderate
U00173,BCA,7.8,7.0,9.3,6,Moderate
U00174,BCA,0.7,7.2,7.9,9,Severe
U00175,BBA,5.3,0.8,8.5,10,Moderate
U00176,BBA,2.1,3.7,4.5,2,Moderate
U00177,BCA,3.4,1.6,9.0,5,Moderate
U00178,Arts,7.2,6.7,8.8,3,Moderate
U00179,BTech,8.6,5.0,5.3,3,Severe
U00180,BTech,6.5,2.5,7.6,6,Moderate
U00181,BBA,8.4,5.4,9.9,8,Severe
U00182,BTech,1.3,1.9,6.5,10,Moderate
U00183,BCA,6.7,6.9,5.3,4,Severe
U00184,BBA,3.0,1.9,4.9,10,Moderate
U00185,BCA,1.9,3.4,4.4,5,Severe
U00186,Arts,8.3,2.5,7.3,6,Moderate
U00187,BCA,3.4,7.0,7.7,6,Severe
U00188,BTech,2.1,5.1,4.5,5,Severe
U00189,BTech,2.1,7.9,7.7,2,Moderate
U00190,Arts,1.7,5.4,5.6,1,Severe
U00191,BCA,1.9,3.9,7.5,2,Moderate
U00192,Arts,0.6,3.6,4.9,3,Low
U00193,BCA,1.4,1.5,9.8,9,Moderate
U00194,BTech,9.7,1.5,8.7,1,Moderate
U00195,BTech,9.5,1.6,5.4,2,Severe
U00196,BTech,0.1,6.2,6.3,7,Moderate
U00197,BBA,6.0,3.0,6.2,1,Low
U00198,BTech,0.1,3.9,6.1,2,Severe
U00199,BCA,4.3,4.2,9.9,7,Low
U00200,BTech,1.7,6.4,4.7,9,Moderate
U00201,BBA,9.6,3.5,4.9,3,Severe
U00202,BTech,8.1,5.8,5.4,9,Severe
U00203,BTech,4.5,5.5,5.7,9,Severe
U00204,BBA,8.4,2.1,4.3,10,Severe
U00205,BCA,7.2,0.8,8.2,6,Low
U00206,Arts,9.1,1.8,6.6,4,Moderate
U00207,BBA,7.6,3.4,4.2,7,Severe
U00208,BCA,1.3,3.7,6.2,4,Moderate
U00209,BCA,3.9,1.2,5.4,3,Moderate
U00210,BCA,7.2,3.1,10.0,7,Severe
U00211,BCA,5.8,7.2,6.9,2,Moderate
U00212,Arts,7.3,4.2,9.7,10,Low
U00213,BTech,5.2,2.0,4.4,3,Low
U00214,BCA,0.8,1.2,9.0,10,Low
U00215,Arts,1.5,0.7,5.1,6,Severe
U00216,BTech,2.1,0.4,7.5,9,Low
U00217,BBA,3.6,1.1,4.4,5,Severe
U00218,BTech,2.1,0.7,7.9,9,Moderate
U00219,BCA,9.9,6.5,8.2,1,Moderate
U00220,BCA,8.0,1.2,7.3,1,Moderate
U00221,BBA,7.7,2.1,4.0,9,Low
U00222,BCA,9.4,7.5,8.7,3,Severe
U00223,BBA,5.4,7.0,9.4,1,Moderate
U00224,Arts,8.1,6.4,8.7,10,Moderate
U00225,BBA,9.0,1.0,7.5,2,Low
U00226,Arts,1.0,3.8,4.2,4,Moderate
U00227,BBA,5.3,3.9,8.3,4,Low
U00228,BBA,6.9,0.1,9.3,3,Moderate
U00229,Arts,4.7,7.6,7.2,3,Severe
U00230,BBA,2.6,5.4,5.2,5,Severe
U00231,BBA,3.7,5.2,9.8,7,Severe
U00232,Arts,9.1,4.4,4.9,2,Moderate
U00233,BTech,1.8,3.5,6.9,10,Moderate
U00234,BBA,5.7,6.8,5.6,7,Severe
U00235,BCA,6.7,1.9,8.1,3,Moderate
U00236,BTech,9.2,7.2,4.4,10,Low
U00237,BBA,3.7,0.8,9.8,1,Low
U00238,BTech,0.8,2.6,6.2,4,Low
U00239,BBA,2.4,5.9,4.4,8,Moderate
U00240,BCA,0.4,2.8,9.2,5,Moderate
U00241,BCA,4.0,2.4,9.8,10,Moderate
U00242,BTech,0.8,3.1,5.7,4,Moderate
U00243,BTech,2.8,1.7,7.7,3,Moderate
U00244,Arts,9.2,3.3,7.2,5,Low
U00245,BCA,3.5,6.3,4.3,1,Moderate
U00246,BCA,0.0,1.8,9.6,3,Severe
U00247,BCA,1.9,6.0,7.7,10,Low
U00248,BBA,2.4,6.8,5.7,4,Severe
U00249,BCA,0.9,2.4,6.6,7,Moderate
U00250,BBA,5.2,5.3,6.9,4,Severe
U00251,BTech,1.6,0.6,7.7,3,Low
U00252,Arts,1.4,5.1,6.0,6,Low
U00253,BCA,4.1,3.4,4.5,10,Severe
U00254,Arts,1.2,1.2,5.1,10,Low
U00255,BTech,0.1,1.3,9.6,5,Low
U00256,BTech,1.7,5.0,8.5,10,Severe
U00257,BBA,5.7,1.8,8.7,1,Severe
U00258,BBA,3.6,3.4,5.2,8,Moderate
U00259,Arts,6.3,3.9,5.7,5,Moderate
U00260,BCA,3.2,5.0,5.3,2,Moderate
U00261,BTech,1.4,0.2,5.6,4,Severe
U00262,BCA,9.3,1.9,6.0,9,Moderate
U00263,Arts,5.8,1.7,6.2,4,Low
U00264,BCA,5.0,2.8,7.4,1,Low
U00265,BBA,8.3,1.3,8.7,9,Moderate
U00266,BBA,0.8,4.4,7.6,6,Moderate
U00267,BCA,1.7,3.9,9.4,5,Low
U00268,BCA,2.8,6.3,9.2,6,Severe
U00269,BBA,8.3,1.1,9.1,8,Severe
U00270,Arts,9.9,0.4,7.7,1,Low
U00271,Arts,6.1,4.7,6.9,7,Low
U00272,BCA,5.1,7.2,8.3,4,Low
U00273,BTech,1.1,4.2,4.9,3,Low
U00274,Arts,9.4,7.6,8.4,5,Moderate
U00275,Arts,8.8,4.8,4.3,7,Moderate
U00276,BBA,5.5,6.1,7.3,7,Low
U00277,BCA,9.0,6.4,8.9,4,Moderate
U00278,Arts,9.5,6.4,4.5,2,Severe
U00279,BTech,6.9,4.4,8.1,10,Moderate
U00280,BCA,7.0,2.0,4.9,3,Low
U00281,BTech,0.7,3.4,8.7,5,Severe
U00282,BCA,9.8,0.6,8.6,6,Low
U00283,BCA,8.5,1.0,6.1,1,Moderate
U00284,BBA,7.7,4.2,7.2,3,Moderate
U00285,Arts,3.6,6.5,9.8,3,Moderate
U00286,Arts,7.8,5.6,9.7,7,Moderate
U00287,Arts,3.1,1.8,5.5,8,Moderate
U00288,BTech,3.1,1.8,4.9,3,Low
U00289,BBA,0.9,4.2,4.8,5,Moderate
U00290,Arts,8.0,0.3,7.1,7,Moderate
U00291,BBA,1.5,1.6,4.4,6,Severe
U00292,BTech,2.9,5.8,8.7,10,Low
U00293,BBA,7.7,0.1,8.7,4,Low
U00294,BTech,4.1,6.7,9.8,4,Low
U00295,BCA,1.2,2.8,5.3,8,Moderate
U00296,BTech,3.4,3.7,9.3,6,Moderate
U00297,BTech,7.2,3.7,7.6,7,Moderate
U00298,Arts,1.6,7.8,10.0,6,Low
U00299,Arts,4.4,4.0,8.3,1,Moderate
U00300,BTech,7.9,0.0,5.6,2,Severe
U00301,BTech,6.2,3.9,6.6,10,Moderate
U00302,BTech,5.5,1.3,7.5,2,Low
U00303,BCA,4.9,1.7,8.1,5,Moderate
U00304,BBA,5.2,0.4,5.4,6,Moderate
U00305,BTech,6.4,3.9,6.1,5,Low
U00306,BTech,10.0,6.8,8.6,9,Moderate
U00307,BBA,6.9,4.0,4.4,7,Moderate
U00308,BBA,1.0,3.9,4.1,7,Moderate
U00309,BBA,9.3,4.3,7.3,5,Low
U00310,BCA,9.2,7.1,7.8,9,Low
U00311,BTech,8.1,2.3,5.6,6,Low
U00312,BBA,8.8,0.9,4.8,6,Moderate
U00313,BBA,4.8,8.0,8.6,1,Severe
U00314,Arts,7.6,0.4,7.0,9,Low
U00315,Arts,3.3,3.4,7.2,5,Moderate
U00316,Arts,3.6,0.3,9.6,3,Moderate
U00317,BCA,0.3,7.4,9.1,7,Moderate
U00318,BBA,8.6,7.3,8.4,6,Moderate
U00319,BBA,3.7,6.2,9.6,1,Severe
U00320,BBA,5.3,1.9,4.3,1,Severe
U00321,BBA,1.8,4.5,5.4,7,Moderate
U00322,BCA,0.2,7.0,5.3,6,Moderate
U00323,BTech,8.7,7.7,4.3,9,Moderate
U00324,BBA,8.5,1.5,9.8,2,Moderate
U00325,Arts,5.2,0.7,4.5,8,Moderate
U00326,BTech,3.5,7.0,8.5,7,Severe
U00327,BCA,1.9,2.4,6.6,8,Low
U00328,Arts,7.7,5.9,7.0,6,Severe
U00329,BCA,9.2,7.2,5.3,4,Severe
U00330,BTech,9.2,3.4,5.1,7,Low
U00331,BTech,0.3,7.7,4.7,2,Moderate
U00332,BBA,6.5,0.4,5.5,1,Moderate
U00333,BTech,0.6,5.9,7.9,9,Low
U00334,BCA,2.8,2.5,6.3,10,Severe
U00335,Arts,8.5,0.6,8.9,9,Severe
U00336,BCA,9.4,3.2,8.2,2,Moderate
U00337,BBA,3.0,1.7,8.1,8,Low
U00338,BCA,1.8,7.7,9.5,3,Severe
U00339,BBA,1.2,0.4,6.0,1,Low
U00340,BTech,9.1,1.2,6.1,4,Low
U00341,BBA,2.4,2.2,5.7,4,Severe
U00342,BTech,6.3,0.7,4.5,1,Severe
U00343,BCA,7.9,6.0,7.6,1,Moderate
U00344,BBA,0.4,7.4,8.6,8,Moderate
U00345,BCA,7.6,5.4,8.6,10,Severe
U00346,BTech,7.5,4.8,5.5,3,Severe
U00347,Arts,4.0,1.1,7.1,10,Severe
U00348,BTech,5.9,3.5,7.9,9,Low
U00349,BTech,0.9,6.5,5.5,6,Severe
U00350,BCA,6.3,5.7,6.0,9,Moderate
U00351,BBA,8.7,1.4,7.3,9,Moderate
U00352,BCA,4.0,5.3,6.0,10,Moderate
U00353,Arts,1.1,7.3,8.1,3,Low
U00354,BBA,2.5,5.9,5.1,5,Severe
U00355,BBA,3.0,3.4,9.2,7,Low
U00356,BTech,1.4,0.3,7.7,7,Moderate
U00357,BBA,8.0,7.9,4.5,8,Severe
U00358,BCA,8.0,5.7,6.9,4,Low
U00359,BTech,7.9,2.0,6.5,3,Moderate
U00360,Arts,5.2,5.4,7.8,3,Moderate
U00361,Arts,0.7,1.0,7.4,10,Moderate
U00362,BCA,6.1,1.4,8.6,10,Low
U00363,BTech,0.4,3.6,6.5,10,Moderate
U00364,Arts,2.8,5.5,7.6,4,Severe
U00365,Arts,7.4,1.5,9.1,7,Moderate
U00366,BCA,2.0,4.9,4.7,6,Moderate
U00367,BTech,8.0,5.7,8.2,10,Severe
U00368,BCA,2.3,7.7,8.7,9,Severe
U00369,Arts,2.8,1.3,5.4,2,Moderate
U00370,Arts,3.2,5.2,9.6,8,Severe
U00371,BTech,3.0,7.3,5.4,4,Severe
U00372,Arts,2.9,6.7,8.4,7,Moderate
U00373,BCA,2.7,6.2,4.8,9,Moderate
U00374,BBA,1.7,7.9,4.7,8,Severe
U00375,BBA,7.6,4.3,6.1,6,Low
U00376,BBA,8.0,7.9,5.5,5,Low
U00377,BCA,6.2,6.3,8.0,2,Severe
U00378,BTech,3.8,6.1,7.4,1,Moderate
U00379,BBA,5.2,5.0,9.0,10,Moderate
U00380,BBA,2.9,2.7,7.4,9,Moderate
U00381,BCA,2.0,5.1,7.8,8,Severe
U00382,BBA,1.7,0.6,9.3,4,Moderate
U00383,BTech,8.6,2.2,5.3,9,Severe
U00384,BTech,0.9,6.0,6.0,1,Severe
U00385,BBA,3.9,6.1,9.9,3,Severe
U00386,BCA,1.5,0.6,5.3,5,Severe
U00387,BBA,5.3,6.3,9.9,4,Moderate
U00388,BTech,9.9,0.5,9.6,4,Low
U00389,BTech,10.0,4.6,4.4,9,Moderate
U00390,Arts,3.7,7.8,8.3,5,Low
U00391,BBA,5.6,0.2,6.4,6,Severe
U00392,BCA,0.7,3.1,5.2,6,Moderate
U00393,BBA,0.6,5.9,6.0,3,Severe
U00394,Arts,4.8,6.5,4.1,10,Low
U00395,BCA,8.1,6.3,5.6,3,Moderate
U00396,BCA,9.9,6.4,4.7,7,Low
U00397,Arts,4.9,0.2,8.9,9,Low
U00398,BCA,5.7,5.5,5.5,6,Severe
U00399,BCA,2.3,0.1,9.0,10,Low
U00400,BBA,2.2,2.7,9.9,8,Moderate
U00401,BCA,2.8,7.4,8.6,3,Severe
U00402,Arts,5.4,2.1,7.4,8,Moderate
U00403,Arts,8.2,4.8,8.3,2,Moderate
U00404,BTech,6.9,6.6,6.2,1,Moderate
U00405,BCA,6.3,7.7,10.0,9,Low
U00406,BBA,4.0,1.5,6.8,1,Moderate
U00407,Arts,4.4,3.2,7.6,9,Moderate
U00408,BTech,1.2,3.6,10.0,6,Moderate
U00409,BTech,5.1,3.2,4.9,8,Low
U00410,Arts,4.9,3.9,4.6,3,Low
U00411,Arts,1.9,4.4,7.5,8,Moderate
U00412,Arts,9.5,0.0,5.9,5,Severe
U00413,BTech,9.5,8.0,8.1,10,Severe
U00414,Arts,5.1,3.8,9.9,7,Low
U00415,BBA,9.3,2.9,6.1,2,Moderate
U00416,Arts,5.5,3.4,7.4,4,Low
U00417,BCA,5.3,2.5,7.9,5,Moderate
U00418,BTech,4.2,3.1,7.7,3,Low
U00419,BCA,2.0,2.0,9.1,4,Low
U00420,BTech,6.9,4.1,8.6,6,Moderate
U00421,BCA,3.8,5.6,8.6,6,Severe
U00422,BCA,2.0,4.2,9.2,10,Moderate
U00423,BTech,2.6,4.6,6.7,5,Low
U00424,Arts,9.4,2.1,5.5,4,Severe
U00425,BTech,2.2,0.5,9.8,3,Low
U00426,BBA,9.8,1.1,7.8,6,Severe
U00427,BCA,2.0,6.6,4.4,10,Severe
U00428,BCA,0.4,1.8,4.4,7,Moderate
U00429,BTech,0.6,5.6,4.7,1,Moderate
U00430,Arts,9.4,0.9,7.7,2,Low
U00431,Arts,1.4,5.6,6.0,1,Severe
U00432,BCA,9.3,3.8,10.0,7,Moderate
U00433,BBA,0.5,3.1,5.6,6,Low
U00434,BCA,0.2,5.8,6.0,7,Moderate
U00435,BTech,8.8,3.3,5.3,6,Severe
U00436,BBA,0.1,0.4,7.4,6,Low
U00437,BCA,2.4,1.1,8.6,6,Severe
U00438,Arts,7.0,2.9,8.2,9,Moderate
U00439,BBA,5.0,4.7,4.1,1,Moderate
U00440,BBA,6.4,5.9,4.7,6,Severe
U00441,BCA,1.2,0.7,5.1,10,Moderate
U00442,BTech,8.7,1.6,7.6,5,Moderate
U00443,Arts,4.9,2.9,5.8,8,Moderate
U00444,Arts,4.5,6.3,9.8,8,Low
U00445,Arts,3.7,1.3,4.2,8,Severe
U00446,Arts,4.4,2.4,9.2,2,Moderate
U00447,Arts,1.7,2.5,6.7,8,Moderate
U00448,BCA,3.2,3.8,10.0,4,Low
U00449,BTech,8.5,5.4,7.6,10,Severe
U00450,BTech,2.0,1.4,4.8,1,Moderate
U00451,BBA,2.6,5.4,7.5,10,Low
U00452,Arts,5.7,5.1,4.2,6,Moderate
U00453,BCA,9.6,1.8,7.2,5,Moderate
U00454,BTech,0.5,0.0,6.7,3,Low
U00455,BBA,8.0,7.4,9.6,7,Moderate
U00456,BCA,9.5,0.8,9.8,2,Low
U00457,Arts,7.9,7.3,7.0,5,Moderate
U00458,BTech,6.8,2.1,8.5,3,Low
U00459,Arts,1.6,3.5,9.7,4,Moderate
U00460,BCA,3.5,4.4,9.9,8,Severe
U00461,BTech,1.0,4.1,5.0,9,Severe
U00462,BCA,0.7,3.2,7.7,2,Severe
U00463,BTech,0.1,0.8,7.7,1,Moderate
U00464,BBA,5.2,5.2,7.6,1,Moderate
U00465,BCA,2.0,1.5,6.7,7,Moderate
U00466,BCA,7.7,4.2,8.8,5,Low
U00467,BBA,9.0,6.4,6.2,1,Severe
U00468,BCA,2.5,1.2,5.2,9,Low
U00469,BTech,2.6,3.3,6.1,5,Low
U00470,BBA,9.4,5.1,5.4,2,Low
U00471,BCA,2.6,0.2,8.2,7,Low
U00472,BCA,9.3,4.7,6.0,5,Moderate
U00473,BTech,0.0,6.5,5.0,5,Severe
U00474,BCA,0.3,3.2,9.1,8,Moderate
U00475,Arts,1.4,4.1,6.1,6,Low
U00476,BCA,2.9,3.0,7.3,7,Moderate
U00477,BBA,1.3,5.9,8.5,6,Moderate
U00478,BCA,2.2,6.7,9.3,6,Severe
U00479,BCA,3.0,5.8,7.0,2,Moderate
U00480,BCA,7.8,2.4,5.0,6,Moderate
U00481,Arts,7.8,0.5,7.2,9,Moderate
U00482,Arts,7.3,3.6,5.2,6,Moderate
U00483,BBA,6.8,2.2,5.7,5,Moderate
U00484,Arts,3.8,4.6,7.0,1,Moderate
U00485,BBA,2.1,0.2,5.4,8,Low
U00486,BCA,6.3,1.7,9.1,7,Low
U00487,BBA,8.6,3.9,8.8,7,Moderate
U00488,BCA,9.6,1.0,9.0,9,Moderate
U00489,BCA,7.8,5.6,6.6,6,Moderate
U00490,BCA,2.8,7.7,4.7,10,Severe
U00491,BBA,8.9,0.2,7.7,6,Severe
U00492,BBA,2.4,5.3,9.8,1,Low
U00493,BBA,10.0,0.9,7.3,7,Moderate
U00494,Arts,8.0,4.2,4.7,9,Moderate
U00495,BBA,1.8,3.9,4.1,1,Low
U00496,Arts,3.4,0.7,6.3,6,Severe
U00497,BBA,6.0,7.2,8.8,6,Moderate
U00498,Arts,0.4,3.4,7.9,10,Moderate
U00499,BBA,2.2,3.4,7.2,7,Moderate
U00500,Arts,2.7,2.2,4.9,1,Low
U00501,BBA,1.5,7.0,6.2,6,Low
U00502,Arts,3.4,5.2,8.1,9,Moderate
U00503,BBA,7.8,5.7,4.4,4,Moderate
U00504,BBA,6.8,2.1,8.8,1,Low
U00505,Arts,4.9,6.1,9.1,6,Severe
U00506,BCA,9.7,6.0,5.7,9,Severe
U00507,BCA,8.0,3.9,6.5,2,Moderate
U00508,BBA,5.3,0.8,7.4,9,Moderate
U00509,BCA,5.9,7.4,9.0,7,Severe
U00510,BTech,3.2,0.8,6.1,9,Low
U00511,BCA,8.9,7.7,4.5,2,Severe
U00512,Arts,6.8,4.0,9.2,3,Severe
U00513,BBA,2.0,2.7,7.2,5,Moderate
U00514,Arts,2.1,3.7,7.3,9,Moderate
U00515,BCA,5.2,2.8,9.5,10,Low
U00516,BTech,1.9,2.7,7.3,2,Severe
U00517,BBA,9.3,5.9,5.6,1,Moderate
U00518,BTech,1.2,7.4,5.2,9,Moderate
U00519,BBA,3.9,6.7,6.8,9,Severe
U00520,Arts,0.6,3.7,7.9,9,Low
U00521,BTech,3.0,4.4,7.8,5,Moderate
U00522,BTech,9.4,4.8,4.1,10,Low
U00523,BTech,9.4,1.3,7.1,10,Low
U00524,Arts,9.4,4.3,8.3,4,Moderate
U00525,BTech,8.2,5.4,7.2,10,Moderate
U00526,Arts,8.1,1.6,4.3,10,Low
U00527,BTech,5.6,3.6,8.5,9,Moderate
U00528,BTech,5.8,3.0,9.7,4,Moderate
U00529,BTech,0.6,3.9,9.4,4,Low
U00530,BCA,7.1,0.1,9.2,7,Moderate
